,id,Nome,Età,Presenze,Ruolo Anno Successivo,Quotazione Iniziale Anno Successivo,Quotazione Iniziale Mantra Anno Successivo,Fantavoto Media,Fantavoto Media Reale Anno Successivo,Fantavoto Media Predetta Anno Successivo,Differenza Predetta Fantavoto Media Anno Successivo,Differenza Reale Fantavoto Media Anno Successivo,Errore Predizione
2546,695,Toloi,30.0,20.0,D,8.0,8.0,6.05,6.046875,5.905523443073222,-0.14447655692677763,-0.0031249999999998224,-0.1413515569267778
2694,770,Pezzella Giu.,23.0,21.0,D,6.0,6.0,6.0,5.75,5.979349193365441,-0.020650806634558982,-0.25,0.22934919336544102
2753,787,Djimsiti,28.0,31.0,D,7.0,7.0,5.838709677419355,5.895833333333333,5.8742765826773065,0.035566905257951476,0.057123655913978055,-0.02155675065602658
2810,798,Skriniar,26.0,35.0,D,17.0,16.0,6.428571428571429,5.571428571428571,6.207934552286567,-0.2206368762848614,-0.8571428571428577,0.6365059808579963
2906,1847,Caldara,27.0,31.0,D,6.0,6.0,5.82258064516129,5.3,5.837552534068388,0.014971888907098219,-0.5225806451612902,0.5375525340683884
2924,1852,Spinazzola,28.0,3.0,D,12.0,13.0,6.0,6.25,6.12487367811658,0.12487367811657979,0.25,-0.1251263218834202
2974,1868,Murru,26.0,22.0,D,5.0,5.0,5.613636363636363,5.55,5.814612696172999,0.20097633253663538,-0.06363636363636349,0.2646126961729989
3054,1891,Ceccherini,29.0,34.0,D,6.0,6.0,5.794117647058823,5.909090909090909,5.831811307581501,0.03769366052267742,0.1149732620320858,-0.07727960150940838
3065,1895,Ferrari G.,29.0,36.0,D,8.0,8.0,5.75,5.848484848484849,5.939965692065216,0.18996569206521574,0.09848484848484862,0.09148084358036712
3385,2016,Fazio,34.0,16.0,D,6.0,6.0,5.78125,5.821428571428571,5.830275675512992,0.04902567551299164,0.040178571428571175,0.008847104084420465
3558,2104,Bereszynski,29.0,35.0,D,6.0,6.0,5.6,5.722222222222222,5.8568330919934155,0.25683309199341586,0.12222222222222268,0.1346108697711932
3616,2120,Bastoni,22.0,31.0,D,15.0,15.0,6.306451612903226,6.137931034482759,6.187274872389688,-0.119176740513538,-0.16852057842046708,0.04934383790692909
3649,2130,Hateboer,27.0,21.0,D,9.0,8.0,5.738095238095238,5.911764705882353,5.97288555453876,0.23479031644352144,0.17366946778711512,0.061120848656406324
3679,2141,Depaoli,24.0,24.0,D,4.0,4.0,5.958333333333333,6.044117647058823,5.96796740821719,0.009634074883856591,0.08578431372549034,-0.07615023884163374
3722,2160,Gosens,27.0,13.0,D,19.0,18.0,6.3076923076923075,6.21875,6.393178675181218,0.08548636748891081,-0.08894230769230749,0.1744286751812183
3740,2164,Milenkovic,23.0,34.0,D,11.0,12.0,5.8088235294117645,6.055555555555555,6.052164542276376,0.24334101286461163,0.24673202614379086,-0.0033910132791792336
3768,2169,Rodriguez R.,28.0,34.0,D,7.0,8.0,5.852941176470588,5.957142857142857,5.895991861806086,0.04305068533549772,0.10420168067226943,-0.06115099533677171
3794,2174,Venuti,26.0,23.0,D,3.0,3.0,5.630434782608695,5.676470588235294,5.8365431538303385,0.20610837122164316,0.046035805626599036,0.16007256559504413
3821,2180,Karsdorp,26.0,36.0,D,10.0,10.0,6.0,5.730769230769231,6.0343644060683985,0.03436440606839852,-0.26923076923076916,0.3035951752991677
3828,2181,Palomino,31.0,34.0,D,10.0,10.0,6.088235294117647,5.766666666666667,5.992942018059583,-0.09529327605806337,-0.32156862745098014,0.22627535139291677
3833,2184,Gravillon,23.0,0.0,D,5.0,5.0,,5.785714285714286,5.841406659852061,,,0.0556923741377755
3846,2188,Marusic,28.0,33.0,D,7.0,8.0,5.651515151515151,5.924242424242424,5.940293153791288,0.28877800227613637,0.2727272727272725,0.016050729548863885
3858,2192,Bonifazi,25.0,22.0,D,4.0,4.0,5.545454545454546,5.653846153846154,5.799520411602391,0.25406586614784477,0.10839160839160833,0.14567425775623644
3970,2252,Marchizza,23.0,19.0,D,2.0,2.0,5.473684210526316,6.0,5.830843382583344,0.3571591720570284,0.5263157894736841,-0.16915661741665566
3989,2263,Lazzari,27.0,31.0,D,10.0,10.0,6.258064516129032,5.785714285714286,6.243311336310518,-0.014753179818513651,-0.47235023041474644,0.4575970505962328
4020,2279,Romagna,24.0,0.0,D,1.0,1.0,,5.75,5.773211311168751,,,0.02321131116875108
4027,2280,Nuytinck,31.0,27.0,D,7.0,7.0,6.111111111111111,5.7,5.863692324530174,-0.24741878658093697,-0.41111111111111054,0.16369232453017357
4082,2296,Mancini,25.0,33.0,D,10.0,10.0,5.636363636363637,6.1571428571428575,6.024175023916175,0.38781138755253863,0.5207792207792208,-0.13296783322668215
4124,2312,Hristov,22.0,17.0,D,0.0,0.0,5.676470588235294,5.722222222222222,5.828285510273384,0.15181492203808933,0.04575163398692794,0.10606328805116139
4146,2318,Rogerio,23.0,23.0,D,5.0,5.0,5.760869565217392,5.763888888888889,5.87878164268236,0.11791207746496823,0.003019323671497709,0.11489275379347053
4205,2355,Marlon,25.0,0.0,D,7.0,7.0,,5.535714285714286,5.821977356343963,,,0.28626307062967715
4253,2446,Donati,31.0,0.0,D,4.0,4.0,,5.9375,5.787359534756426,,,-0.15014046524357383
4285,2525,Darmian,31.0,25.0,D,9.0,8.0,6.32,6.161290322580645,5.97601278622586,-0.34398721377414,-0.15870967741935527,-0.18527753635478472
4317,2583,Umtiti,27.0,0.0,D,7.0,7.0,,5.82,5.864613854227644,,,0.0446138542276433
4344,2633,Kjaer,32.0,11.0,D,5.0,5.0,5.909090909090909,5.852941176470588,5.847766392859108,-0.06132451623180124,-0.0561497326203213,-0.005174783611479938
4379,2653,Lykogiannis,27.0,28.0,D,4.0,4.0,5.803571428571429,6.190476190476191,5.855471449236233,0.051900020664803925,0.38690476190476186,-0.33500474123995794
4415,2668,Retsos,22.0,5.0,D,0.0,0.0,5.9,5.5,5.883593553362904,-0.016406446637096117,-0.40000000000000036,0.38359355336290424
4446,2724,Buongiorno,22.0,23.0,D,4.0,5.0,5.826086956521739,6.147058823529412,5.791869768090237,-0.03421718843150234,0.3209718670076729,-0.3551890554391752
4458,2728,Pellegrini Lu.,22.0,18.0,D,7.0,7.0,5.972222222222222,5.857142857142857,5.887547396850838,-0.08467482537138427,-0.11507936507936556,0.030404539707981293
4472,2739,Reca,26.0,25.0,D,5.0,5.0,5.708333333333333,6.033333333333333,5.8633017390582545,0.15496840572492143,0.3250000000000002,-0.17003159427507875
4525,2758,Gunter,26.0,30.0,D,5.0,5.0,5.566666666666666,5.695652173913044,5.833852282966011,0.26718561629934445,0.12898550724637747,0.13820010905296698
4558,2769,Magnani,25.0,18.0,D,3.0,3.0,5.694444444444445,5.583333333333333,5.7797753765820135,0.08533093213756882,-0.1111111111111116,0.19644204324868042
4601,2784,Colley,28.0,32.0,D,0.0,0.0,5.859375,5.78125,5.80235926552559,-0.057015734474409996,-0.078125,0.021109265525590004
4611,2788,Bremer,24.0,33.0,D,18.0,18.0,6.590909090909091,6.35,6.231927599060861,-0.3589814918482297,-0.24090909090909118,-0.11807240093913851
4680,2816,Di Lorenzo,27.0,33.0,D,15.0,15.0,6.363636363636363,6.581081081081081,6.214135304946341,-0.1495010586900225,0.21744471744471738,-0.3669457761347399
4748,2847,Sernicola,24.0,0.0,D,3.0,4.0,,5.953125,5.810072150249438,,,-0.14305284975056232
4795,2865,Aina,24.0,21.0,D,5.0,5.0,5.833333333333333,6.078947368421052,5.878595601554378,0.04526226822104462,0.24561403508771917,-0.20035176686667455
4805,2869,Djidji,28.0,25.0,D,5.0,6.0,5.76,5.823529411764706,5.796409151332139,0.03640915133213962,0.06352941176470583,-0.027120260432566212
4810,2870,Troost-Ekong,27.0,0.0,D,5.0,5.0,,6.222222222222222,5.8074132283695805,,,-0.4148089938526418
4857,4237,Danilo,30.0,22.0,D,12.0,14.0,6.2272727272727275,6.45945945945946,6.112932008093938,-0.11434071917878974,0.23218673218673214,-0.3465274513655219
4864,4245,Smalling,31.0,27.0,D,14.0,14.0,6.425925925925926,6.515625,6.168535163325005,-0.2573907626009202,0.0896990740740744,-0.3470898366749946
4889,4292,Hernandez T.,23.0,32.0,D,20.0,22.0,6.6875,6.40625,6.564671094116804,-0.12282890588319617,-0.28125,0.15842109411680383
4908,4323,Zeegelaar,30.0,14.0,D,2.0,2.0,5.571428571428571,6.0,5.791634153520992,0.22020558209242047,0.4285714285714288,-0.20836584647900835
4926,4329,Nikolaou,22.0,36.0,D,4.0,4.0,5.486111111111111,5.652777777777778,5.8148798481475374,0.32876873703642673,0.16666666666666696,0.16210207036975977
4936,4331,Ibanez,22.0,34.0,D,9.0,9.0,5.985294117647059,5.833333333333333,5.982306625989702,-0.002987491657356678,-0.15196078431372584,0.14897329265636916
4942,4332,Demiral,23.0,28.0,D,13.0,13.0,6.107142857142857,5.982142857142857,6.066799758132616,-0.04034309901024091,-0.125,0.08465690098975909
5025,4374,Walukiewicz,21.0,7.0,D,4.0,4.0,5.642857142857143,5.909090909090909,5.784068774924239,0.14121163206709575,0.26623376623376593,-0.12502213416667018
5030,4375,Terzic,21.0,14.0,D,2.0,2.0,6.035714285714286,6.159090909090909,5.899786857394826,-0.1359274283194596,0.12337662337662358,-0.25930405169608317
5043,4378,Ranieri L,22.0,27.0,D,1.0,1.0,5.648148148148148,6.166666666666667,5.837178267937445,0.1890301197892974,0.518518518518519,-0.32948839872922164
5051,4385,Lazaro,25.0,0.0,D,7.0,6.0,,6.043478260869565,5.858201005148049,,,-0.1852772557215161
5080,4401,Gabbia,21.0,8.0,D,1.0,1.0,5.4375,5.541666666666667,5.829088454485311,0.3915884544853112,0.10416666666666696,0.28742178781864425
5099,4407,Igor,23.0,30.0,D,9.0,10.0,5.766666666666667,5.555555555555555,5.91508245761874,0.14841579095207358,-0.21111111111111125,0.35952690206318483
5106,4409,Rrahmani,27.0,33.0,D,14.0,14.0,6.5606060606060606,6.344827586206897,6.197780304795752,-0.3628257558103085,-0.21577847439916376,-0.14704728141114476
5114,4412,Rodrigo Becao,25.0,35.0,D,10.0,10.0,6.1,6.0,6.020728654203772,-0.07927134579622752,-0.09999999999999964,0.020728654203772123
5133,4421,Augello,26.0,36.0,D,7.0,7.0,5.930555555555555,6.094594594594595,5.883870842970159,-0.04668471258539597,0.16403903903903938,-0.21072375162443535
5150,4426,Toljan,26.0,20.0,D,5.0,5.0,5.85,5.67741935483871,5.835660201377139,-0.014339798622860833,-0.17258064516128968,0.15824084653842885
5166,4432,Okoli,20.0,0.0,D,5.0,5.0,,5.676470588235294,5.782137837806722,,,0.10566724957142792
5169,4433,Zortea,22.0,29.0,D,2.0,3.0,5.948275862068965,6.078947368421052,5.896705295055681,-0.05157056701328422,0.1306715063520869,-0.18224207336537113
5178,4438,Cassandro,21.0,0.0,D,1.0,1.0,,6.0,5.798595900675984,,,-0.20140409932401582
5264,4493,Dawidowicz,26.0,17.0,D,4.0,4.0,5.705882352941177,5.804347826086956,5.811993527669596,0.10611117472841958,0.09846547314577947,0.007645701582640108
5272,4495,Kumbulla,21.0,17.0,D,4.0,4.0,5.647058823529412,5.357142857142857,5.816456149195166,0.16939732566575394,-0.28991596638655537,0.4593132920523093
5291,4502,Gallo,21.0,0.0,D,2.0,2.0,,5.65625,5.789333078978578,,,0.1330830789785784
5330,4519,Cetin,24.0,2.0,D,0.0,0.0,6.0,5.0,5.832732213697565,-0.16726778630243544,-1.0,0.8327322136975646
5338,4521,Muldur,22.0,31.0,D,5.0,5.0,5.693548387096774,6.0,5.84735207145887,0.1538036843620958,0.306451612903226,-0.15264792854113018
5360,4530,Kyriakopoulos,25.0,29.0,D,6.0,6.0,5.931034482758621,6.1875,6.009970713159819,0.07893623040119824,0.256465517241379,-0.17752928684018077
5362,4657,Celik,24.0,0.0,D,7.0,7.0,,5.729166666666667,5.93003485022562,,,0.20086818355895275
5384,4719,Ampadu,20.0,29.0,D,6.0,6.0,5.689655172413793,5.790322580645161,5.850339762375452,0.1606845899616589,0.10066740823136833,0.06001718173029058
5395,4751,Tomori,23.0,0.0,D,15.0,15.0,,6.090909090909091,6.1126056782450116,,,0.021696587335920725
5424,4870,Adopo,25.0,0.0,D,1.0,1.0,,5.888888888888889,5.792775601366706,,,-0.09611328752218284
5454,4887,Bellanova,21.0,31.0,D,8.0,7.0,5.903225806451613,6.0,6.0096206897040245,0.10639488325241153,0.09677419354838701,0.009620689704024521
5468,4891,Soumaoro,29.0,28.0,D,5.0,5.0,5.589285714285714,5.891304347826087,5.796784769576447,0.20749905529073231,0.3020186335403725,-0.09451957824964019
5489,4897,Pirola,19.0,0.0,D,4.0,4.0,,5.9423076923076925,5.7970866520635305,,,-0.14522104024416205
5494,4899,Singo,20.0,35.0,D,14.0,13.0,6.442857142857143,6.032258064516129,6.268585405251579,-0.17427173760556425,-0.41059907834101406,0.2363273407354498
5497,4904,Mari,27.0,0.0,D,11.0,11.0,,5.966666666666667,6.0382486848771055,,,0.07158201821043875
5518,4925,Carboni,20.0,30.0,D,0.0,0.0,5.5,5.5,5.794248482824952,0.2942484828249521,0.0,0.2942484828249521
5532,4934,Lovato,21.0,22.0,D,6.0,6.0,5.863636363636363,5.588235294117647,5.814453000960916,-0.049183362675447206,-0.27540106951871657,0.22621770684326936
5579,4958,Caldirola,30.0,0.0,D,4.0,4.0,,6.032258064516129,5.7942535022708075,,,-0.23800456224532152
5585,4960,Tuia,31.0,0.0,D,3.0,3.0,,6.0,5.798285475747128,,,-0.20171452425287217
5616,4976,Kalulu,21.0,28.0,D,14.0,15.0,6.392857142857143,5.794117647058823,6.138607824708017,-0.2542493181491263,-0.5987394957983199,0.34449017764919354
5627,4979,Ayhan,26.0,23.0,D,0.0,0.0,5.891304347826087,5.65,5.806074536659116,-0.08522981116697093,-0.24130434782608656,0.15607453665911564
5632,4982,Erlic,23.0,30.0,D,9.0,9.0,6.066666666666666,5.607142857142857,5.992570690288419,-0.07409597637824739,-0.45952380952380967,0.3854278331455623
5636,4983,Ferrer,23.0,27.0,D,3.0,4.0,5.944444444444445,5.6,5.881931052770938,-0.062513391673507,-0.344444444444445,0.281931052770938
5659,4994,Vojvoda,26.0,29.0,D,9.0,9.0,6.068965517241379,5.982758620689655,6.014947956573879,-0.054017560667499964,-0.0862068965517242,0.032189335884224235
5700,5010,Ismajli,24.0,20.0,D,3.0,3.0,5.2,5.86,5.824490267771166,0.6244902677711659,0.6600000000000001,-0.035509732228834245
5708,5017,Ballo-Toure,24.0,10.0,D,2.0,2.0,5.65,6.2,5.882416631287731,0.23241663128773027,0.5499999999999998,-0.31758336871226955
5731,5239,Llorente D,27.0,0.0,D,8.0,8.0,,6.055555555555555,5.91613659081899,,,-0.13941896473656534
5776,5313,Dest,20.0,0.0,D,5.0,6.0,,5.6875,5.9149134734490705,,,0.22741347344907048
5780,5316,Amione,19.0,0.0,D,2.0,3.0,,5.62962962962963,5.783757238302767,,,0.15412760867313757
5795,5323,Martinez Quarta,25.0,20.0,D,4.0,4.0,5.775,5.981481481481482,5.85525032016469,0.0802503201646898,0.2064814814814815,-0.12623116131679168
5809,5332,Bastoni S.,24.0,31.0,D,12.0,13.0,6.387096774193548,6.473684210526316,6.186972960977967,-0.2001238132155807,0.08658743633276789,-0.2867112495483486
5829,5354,Ruggeri,19.0,14.0,D,1.0,1.0,5.821428571428571,5.866666666666666,5.850210373996359,0.02878180256778773,0.04523809523809508,-0.01645629267030735
5833,5355,Udogie,18.0,35.0,D,13.0,13.0,6.457142857142857,6.393939393939394,6.292363682832512,-0.16477917431034506,-0.0632034632034637,-0.10157571110688135
5851,5375,Maehle,24.0,26.0,D,8.0,7.0,5.961538461538462,6.161764705882353,6.039775630438956,0.07823716890049415,0.20022624434389158,-0.12198907544339743
5888,5399,Antov,20.0,0.0,D,1.0,1.0,,5.5,5.812447146683729,,,0.31244714668372886
5948,5449,Parisi,20.0,25.0,D,8.0,8.0,5.86,6.136363636363637,5.946433658330828,0.08643365833082761,0.27636363636363637,-0.18992997803280876
5951,5450,Stojanovic,25.0,33.0,D,7.0,7.0,5.787878787878788,5.722222222222222,5.907866074445724,0.11998728656693558,-0.06565656565656575,0.18564385222350133
5986,5475,Amian,23.0,32.0,D,6.0,6.0,5.671875,5.533333333333333,5.846089702801993,0.1742147028019927,-0.13854166666666679,0.3127563694686595
5993,5479,Ceccaroni,25.0,35.0,D,5.0,5.0,5.871428571428571,6.0,5.838255295249676,-0.03317327617889543,0.128571428571429,-0.16174470475032443
5996,5480,Ebuehi,25.0,19.0,D,3.0,3.0,5.552631578947368,6.4423076923076925,5.815022269117216,0.2623906901698483,0.8896761133603244,-0.6272854231904761
5999,5481,Mazzocchi,26.0,33.0,D,7.0,7.0,5.833333333333333,6.462962962962963,5.9386453912947585,0.10531205796142551,0.6296296296296298,-0.5243175716682043
6022,5498,Casale,23.0,36.0,D,9.0,10.0,5.75,6.0344827586206895,5.917981231364979,0.1679812313649789,0.2844827586206895,-0.11650152725571061
6050,5509,Vina,23.0,26.0,D,0.0,0.0,5.769230769230769,5.833333333333333,5.911593575684281,0.1423628064535114,0.06410256410256387,0.07826024235094753
6061,5513,Dumfries,25.0,33.0,D,20.0,19.0,6.742424242424242,6.0,6.557686688966466,-0.18473755345777665,-0.7424242424242422,0.5576866889664656
6064,5514,Vasquez,25.0,0.0,D,6.0,6.0,,5.78,5.786509859015419,,,0.006509859015419117
6080,5520,Cambiaso,21.0,26.0,D,9.0,10.0,6.115384615384615,6.03125,6.049426031443594,-0.06595858394102105,-0.08413461538461497,0.01817603144359392
6087,5526,Scalvini,17.0,18.0,D,6.0,6.0,6.111111111111111,6.03125,5.880039322818651,-0.23107178829245978,-0.07986111111111072,-0.15121067718134906
6090,5527,Zanoli,20.0,12.0,D,3.0,3.0,5.875,6.282608695652174,5.812557904810729,-0.062442095189270574,0.40760869565217384,-0.4700507908414444
6098,5532,Bradaric,21.0,0.0,D,7.0,7.0,,5.774193548387097,5.849278233576069,,,0.07508468518897171
6100,5554,Daniliuc,20.0,0.0,D,7.0,8.0,,5.5,5.8454374404248375,,,0.3454374404248375
6104,5603,Pongracic,23.0,0.0,D,6.0,6.0,,5.888888888888889,5.83128227310018,,,-0.057606615788709625
6123,5677,Perez N,21.0,20.0,D,8.0,8.0,5.65,6.0,5.847862002343218,0.19786200234321782,0.34999999999999964,-0.15213799765678182
6125,5678,Holm,21.0,0.0,D,2.0,3.0,,6.15,5.8504358718621265,,,-0.2995641281378738
6133,5686,Soppy,19.0,28.0,D,7.0,7.0,5.875,5.9,5.902082000059748,0.027082000059747813,0.025000000000000355,0.0020820000597474575
6144,5691,Zima,20.0,20.0,D,5.0,5.0,5.825,5.833333333333333,5.80507659538548,-0.019923404614520024,0.00833333333333286,-0.028256737947852884
6147,5693,Kiwior,21.0,22.0,D,0.0,0.0,5.636363636363637,5.823529411764706,5.810627501145029,0.1742638647813921,0.18716577540106893,-0.012901910619676826
6187,5739,De Winter,19.0,0.0,D,4.0,5.0,,5.642857142857143,5.785487252392097,,,0.14263010953495403
6189,5740,Zanotti,18.0,1.0,D,1.0,1.0,6.0,6.0,5.889719077627448,-0.11028092237255205,0.0,-0.11028092237255205
6192,5747,Ruan,22.0,10.0,D,3.0,3.0,5.7,5.260869565217392,5.835062851508431,0.13506285150843045,-0.4391304347826086,0.574193286291039
6198,5750,Ostigard,21.0,15.0,D,7.0,7.0,5.433333333333334,5.928571428571429,5.813934766987534,0.38060143365420007,0.49523809523809526,-0.11463666158389518
6213,5764,Coppola D,17.0,4.0,D,2.0,2.0,5.875,5.7105263157894735,5.768344796148678,-0.10665520385132243,-0.16447368421052655,0.057818480359204116
6255,5793,Kasius,18.0,7.0,D,0.0,0.0,5.928571428571429,6.214285714285714,5.95115008972297,0.022578661151540835,0.2857142857142856,-0.26313562456274475
6273,5804,Cacace,20.0,10.0,D,3.0,3.0,5.8,5.666666666666667,5.815422272136964,0.015422272136964565,-0.13333333333333286,0.14875560547029743
6307,5831,Gatti,23.0,0.0,D,5.0,5.0,,5.833333333333333,5.854042102677109,,,0.02070876934377619
6311,5833,Gila,20.0,0.0,D,4.0,4.0,,5.75,5.852711808357236,,,0.10271180835723559
6315,5835,Baschirotto,24.0,0.0,D,2.0,2.0,,6.22972972972973,5.86023853119976,,,-0.36949119852997026
6321,5838,Birindelli,22.0,0.0,D,3.0,4.0,,5.774193548387097,5.805219095391801,,,0.03102554700470428
6325,5840,Olivera,23.0,0.0,D,7.0,7.0,,6.216666666666667,5.905750009362872,,,-0.31091665730379514
6337,5846,Bayeye,25.0,0.0,D,1.0,1.0,,5.75,5.779644166417081,,,0.02964416641708123
6339,5847,Bijol,22.0,0.0,D,5.0,5.0,,6.03125,5.824227911349057,,,-0.20702208865094285
6341,5848,Ebosele,18.0,0.0,D,2.0,2.0,,5.9411764705882355,5.866787350735292,,,-0.07438911985294361
6343,5849,Buta,19.0,0.0,D,1.0,1.0,,6.0,5.819625016017294,,,-0.18037498398270557
6347,5851,Doig,19.0,0.0,D,6.0,6.0,,6.5,5.8128875429902624,,,-0.6871124570097376
6353,5856,Sambia,24.0,0.0,D,7.0,7.0,,5.909090909090909,5.890610907449157,,,-0.018480001641751898
6359,5862,Valeri,22.0,0.0,D,5.0,5.0,,6.3108108108108105,5.846818470882798,,,-0.46399233992801214
6365,5867,Gendrey,21.0,0.0,D,4.0,4.0,,5.851351351351352,5.793144106178624,,,-0.058207245172727795
6379,5877,Carlos Augusto,22.0,0.0,D,8.0,8.0,,6.757142857142857,5.863596041909987,,,-0.8935468152328703
6393,5885,Dodo,25.0,0.0,D,14.0,14.0,,5.984848484848484,6.06978466000818,,,0.08493617515969554
6397,5891,Quagliata,21.0,0.0,D,3.0,3.0,,5.8,5.82338798822238,,,0.023387988222379974
6399,5892,Kim,24.0,0.0,D,13.0,13.0,,6.428571428571429,6.035501127881263,,,-0.3930703006901659
6407,5994,Ebosse,22.0,0.0,D,4.0,4.0,,5.675,5.818557246236715,,,0.14355724623671495
6418,6002,Aiwu,20.0,0.0,D,5.0,5.0,,5.565217391304348,5.847101726349271,,,0.28188433504492316
6429,6013,Barbieri,25.0,0.0,D,1.0,1.0,,6.0,5.779644166417081,,,-0.22035583358291877
6434,6021,Abankwah,25.0,0.0,D,1.0,1.0,,6.25,5.779644166417081,,,-0.47035583358291877
6436,6023,Guessand A,16.0,0.0,D,1.0,1.0,,6.5,5.793144106178624,,,-0.706855893821376
6444,6027,Lochoshvili,23.0,0.0,D,3.0,3.0,,5.9,5.813507518450458,,,-0.08649248154954225
6446,6028,Bronn,26.0,0.0,D,5.0,5.0,,5.5,5.846291087206393,,,0.3462910872063931
6449,6039,Cabal,25.0,0.0,D,3.0,3.0,,5.7727272727272725,5.779644166417081,,,0.006916893689808745
6451,6041,Schuurs,21.0,0.0,D,9.0,9.0,,6.183333333333334,5.9102242400733385,,,-0.2731090932599951
6453,6042,Lucumi,23.0,0.0,D,9.0,10.0,,5.681818181818182,5.871472575562895,,,0.18965439374471327
6455,6043,Sosa,25.0,0.0,D,2.0,2.0,,5.35,5.779644166417081,,,0.4296441664170816
6457,6046,Hien,25.0,0.0,D,6.0,6.0,,5.796875,5.786509859015419,,,-0.010365140984580634
6459,6047,Ehizibue,26.0,0.0,D,4.0,4.0,,5.925925925925926,5.843423262566539,,,-0.08250266335938683
6465,6055,Thiaw,19.0,0.0,D,6.0,6.0,,5.8,5.821384779982284,,,0.021384779982284385
6477,6066,Posch,24.0,0.0,D,8.0,9.0,,6.683333333333334,5.942413682258476,,,-0.7409196510748579
6488,6118,Moutinho J,25.0,0.0,D,2.0,2.0,,5.875,5.779644166417081,,,-0.09535583358291877
6499,6139,Zeefuik,23.0,0.0,D,4.0,4.0,,6.0,5.825959969855291,,,-0.1740400301447087
6508,6149,Carboni F,18.0,0.0,D,1.0,1.0,,6.166666666666667,5.78775970637573,,,-0.3789069602909372
6510,6153,Wisniewski,23.0,0.0,D,3.0,3.0,,5.607142857142857,5.778676747425977,,,0.17153389028312027
70,21,D'Alessandro,30.0,0.0,C,1.0,2.0,,6.0625,5.999480180787108,,,-0.0630198192128919
79,22,De Roon,30.0,30.0,C,7.0,7.0,6.133333333333334,6.257142857142857,5.930898353105199,-0.20243498022813444,0.12380952380952337,-0.3262445040376578
97,27,Grassi,26.0,30.0,C,6.0,7.0,5.883333333333334,5.88,5.898003819137022,0.014670485803688571,-0.0033333333333338544,0.018003819137022425
490,148,Krunic,27.0,28.0,C,7.0,6.0,6.107142857142857,5.826086956521739,5.971956041650127,-0.13518681549272937,-0.2810559006211175,0.14586908512838814
500,150,Saponara,29.0,29.0,C,11.0,11.0,6.655172413793103,6.5,6.400087784633328,-0.25508462915977503,-0.1551724137931032,-0.09991221536667183
510,152,Zielinski,27.0,35.0,C,19.0,19.0,6.757142857142857,6.716216216216216,6.6466039779223305,-0.11053887922052663,-0.04092664092664133,-0.0696122382938853
617,181,Vecino,29.0,17.0,C,6.0,7.0,6.117647058823529,6.046875,6.072015497615165,-0.045631561208364424,-0.070772058823529,0.02514049761516457
788,236,Lazovic,30.0,34.0,C,13.0,13.0,6.485294117647059,6.816666666666666,6.302287806728186,-0.18300631091887265,0.33137254901960755,-0.5143788599384802
805,238,Rincon,33.0,24.0,C,6.0,6.0,5.729166666666667,5.529411764705882,5.862365331889347,0.13319866522267976,-0.19975490196078471,0.33295356718346447
945,265,Brozovic,28.0,35.0,C,15.0,15.0,6.414285714285715,6.517857142857143,6.209407300465573,-0.2048784138201416,0.10357142857142865,-0.30844984239157025
1087,302,Pereyra,30.0,24.0,C,18.0,18.0,6.395833333333333,6.6911764705882355,6.422364369019075,0.026531035685741777,0.29534313725490247,-0.2688121015691607
1091,303,Pogba,28.0,0.0,C,24.0,24.0,,6.0,6.444335977593874,,,0.444335977593874
1224,332,Candreva,34.0,36.0,C,17.0,17.0,6.847222222222222,6.885714285714286,6.766346793183177,-0.08087542903904499,0.0384920634920638,-0.11936749253110879
1233,333,Cataldi,26.0,32.0,C,8.0,8.0,6.078125,5.931034482758621,5.998241811129111,-0.0798831888708893,-0.147090517241379,0.0672073283704897
1242,335,Felipe Anderson,28.0,38.0,C,19.0,19.0,6.802631578947368,7.0,6.550617872997607,-0.2520137059497616,0.19736842105263186,-0.44938212700239344
1355,367,Bonaventura,31.0,31.0,C,14.0,16.0,6.564516129032258,6.666666666666667,6.4672696826990865,-0.09724644633317148,0.10215053763440896,-0.19939698396758043
1391,376,Verdi,29.0,18.0,C,13.0,13.0,7.138888888888889,6.625,6.4927173035238726,-0.6461715853650167,-0.5138888888888893,-0.13228269647612745
1628,434,Jajalo,33.0,22.0,C,0.0,0.0,5.931818181818182,6.0,5.89137420971972,-0.040443972098461956,0.06818181818181834,-0.1086257902802803
1745,468,Paredes,27.0,0.0,C,13.0,15.0,,5.82,6.1753411528316215,,,0.35534115283162127
1986,526,Duncan,28.0,33.0,C,7.0,7.0,6.121212121212121,5.96,5.99392987566274,-0.12728224554938095,-0.16121212121212114,0.033929875662740194
2011,530,Pellegrini Lo.,25.0,28.0,C,27.0,26.0,7.089285714285714,6.328125,7.095895421989579,0.006609707703864487,-0.7611607142857144,0.7677704219895789
2045,536,Politano,27.0,33.0,C,15.0,15.0,6.46969696969697,6.462962962962963,6.53890470814806,0.06920773845109007,-0.006734006734006925,0.075941745185097
2143,557,Benassi,26.0,18.0,C,3.0,3.0,5.75,5.794117647058823,5.952304602066785,0.2023046020667847,0.04411764705882337,0.15818695500796132
2271,600,Verre,27.0,19.0,C,0.0,0.0,5.684210526315789,5.555555555555555,5.982985047871601,0.29877452155581175,-0.12865497076023402,0.42742949231604577
