,id,Stagione,Nome,Età,Presenze,Ruolo Anno Successivo,Quotazione Iniziale Anno Successivo,Quotazione Iniziale Mantra Anno Successivo,Voto Media,Voto Media Storica,Fantavoto Media,Fantavoto Media Storica,Fantavoto Media Reale Anno Successivo,Fantavoto Media Predetta Anno Successivo,Differenza Predetta Fantavoto Media Anno Successivo,Differenza Reale Fantavoto Media Anno Successivo,Errore Predizione
14233,5869,2021.0,Blin,24.0,0,C,2.0,2.0,5.976190476190476,5.988516830294531,,6.143908898305085,5.914285714285715,5.988790507591706,,,0.07450479330599169
14242,5870,2021.0,Hjulmand,22.0,0,C,6.0,7.0,5.976190476190476,5.988516830294531,,6.143908898305085,6.0285714285714285,5.971477520266628,,,-0.05709390830480032
14251,5872,2021.0,Helgason,20.0,0,C,1.0,1.0,5.976190476190476,5.988516830294531,,6.143908898305085,5.875,5.980283996126116,,,0.10528399612611583
14260,5875,2021.0,Adli,21.0,0,C,7.0,6.0,5.976190476190476,5.988516830294531,,6.143908898305085,5.666666666666667,6.099604754763832,,,0.43293808809716516
14287,5878,2021.0,Colpani,22.0,0,C,4.0,4.0,5.976190476190476,5.988516830294531,,6.143908898305085,6.555555555555555,6.162733227966932,,,-0.39282232758862357
14296,5879,2021.0,Vignato S.,17.0,0,C,1.0,1.0,5.976190476190476,5.988516830294531,,6.143908898305085,6.3,5.999554963654761,,,-0.30044503634523867
14305,5880,2021.0,Ciurria,26.0,0,C,3.0,3.0,5.976190476190476,5.988516830294531,,6.143908898305085,6.791666666666667,6.193161000868513,,,-0.5985056657981538
14332,5884,2021.0,Ranocchia F.,20.0,0,C,2.0,2.0,5.976190476190476,5.988516830294531,,6.143908898305085,6.321428571428571,6.040569673580868,,,-0.2808588978477031
14386,5947,2021.0,Hrustic,25.0,0,C,4.0,3.0,5.976190476190476,5.988516830294531,,6.143908898305085,5.5,6.0297973410894965,,,0.5297973410894965
14431,5995,2021.0,De Ketelaere,20.0,0,C,21.0,20.0,5.976190476190476,5.988516830294531,,6.143908898305085,5.78125,6.399265486638254,,,0.6180154866382539
14449,5998,2021.0,Zerbin,22.0,0,C,1.0,1.0,5.976190476190476,5.988516830294531,,6.143908898305085,5.85,6.216767541249905,,,0.3667675412499056
14458,5999,2021.0,Gonzalez J.,19.0,0,C,2.0,2.0,5.976190476190476,5.988516830294531,,6.143908898305085,5.9,5.959848586978499,,,0.059848586978498375
14485,6005,2021.0,Ilkhan,17.0,0,C,3.0,3.0,5.976190476190476,5.988516830294531,,6.143908898305085,5.875,6.025727150002089,,,0.1507271500020888
14494,6009,2021.0,Degli Innocenti,18.0,0,C,1.0,1.0,5.976190476190476,5.988516830294531,,6.143908898305085,6.0,5.943812137322062,,,-0.056187862677938405
14503,6010,2021.0,Fazzini,18.0,0,C,1.0,1.0,5.976190476190476,5.988516830294531,,6.143908898305085,5.833333333333333,5.95503415388078,,,0.12170082054744658
14521,6012,2021.0,Acella,24.0,0,C,1.0,1.0,5.976190476190476,5.988516830294531,,6.143908898305085,6.0,5.964561565703552,,,-0.035438434296447774
14539,6019,2021.0,D'Andrea,24.0,0,C,1.0,1.0,5.976190476190476,5.988516830294531,,6.143908898305085,6.2,5.978313086815884,,,-0.22168691318411593
14566,6024,2021.0,Sulemana I.,24.0,0,C,1.0,1.0,5.976190476190476,5.988516830294531,,6.143908898305085,5.8125,5.964561565703552,,,0.15206156570355223
14575,6025,2021.0,Vilhena,26.0,0,C,8.0,9.0,5.976190476190476,5.988516830294531,,6.143908898305085,6.181818181818182,6.061416714800589,,,-0.1204014670175928
14683,6054,2021.0,Moro N.,23.0,0,C,5.0,6.0,5.976190476190476,5.988516830294531,,6.143908898305085,6.288461538461538,5.995214992019803,,,-0.2932465464417353
14710,6058,2021.0,Camara Ma.,24.0,0,C,7.0,8.0,5.976190476190476,5.988516830294531,,6.143908898305085,5.866666666666666,5.975447766273528,,,0.10878109960686189
14728,6061,2021.0,Oudin,24.0,0,C,5.0,5.0,5.976190476190476,5.988516830294531,,6.143908898305085,6.225806451612903,6.23363223206831,,,0.007825780455407383
14746,6106,2021.0,Carboni V.,24.0,0,C,1.0,1.0,5.976190476190476,5.988516830294531,,6.143908898305085,6.0,5.978313086815884,,,-0.021686913184115753
14755,6112,2021.0,Iling Junior,17.0,0,C,1.0,1.0,5.976190476190476,5.988516830294531,,6.143908898305085,6.416666666666667,5.960559542722736,,,-0.45610712394393094
14773,6117,2021.0,Tahirovic,24.0,0,C,1.0,1.0,5.976190476190476,5.988516830294531,,6.143908898305085,5.954545454545454,5.964561565703552,,,0.010016111158098084
