,id,Stagione,Nome,Età,Presenze,Ruolo Anno Successivo,Quotazione Iniziale Anno Successivo,Quotazione Iniziale Mantra Anno Successivo,Voto Media,Voto Media Storica,Fantavoto Media,Fantavoto Media Storica,Fantavoto Media Reale Anno Successivo,Fantavoto Media Predetta Anno Successivo,Differenza Predetta Fantavoto Media Anno Successivo,Differenza Reale Fantavoto Media Anno Successivo,Errore Predizione
13269,5529,2021.0,Henry,26.0,33,A,18.0,16.0,6.0,6.0,6.666666666666667,6.666666666666667,6.15625,6.503968158801656,-0.16269850786501117,-0.510416666666667,0.3477181588016558
13341,5672,2021.0,Dia,24.0,0,A,17.0,16.0,6.0,6.0,,6.660377358490566,7.818181818181818,6.590128451704621,,,-1.228053366477197
13377,5676,2021.0,Success,25.0,22,A,13.0,13.0,6.2272727272727275,6.2272727272727275,6.704545454545454,6.704545454545454,6.166666666666667,6.323208704509045,-0.3813367500364091,-0.5378787878787872,0.15654203784237808
13476,5694,2021.0,Beto,23.0,28,A,24.0,24.0,6.107142857142857,6.107142857142857,7.267857142857143,7.267857142857143,6.96969696969697,6.778734048712809,-0.4891230941443343,-0.2981601731601735,-0.1909629209841608
13575,5728,2021.0,Afena-Gyan,18.0,17,A,8.0,8.0,5.882352941176471,5.882352941176471,6.088235294117647,6.088235294117647,5.586956521739131,6.205720427685603,0.11748513356795609,-0.5012787723785159,0.618763905946472
13584,5734,2021.0,Soule',18.0,2,A,1.0,1.0,6.0,6.0,6.0,6.0,6.3076923076923075,6.137892729435395,0.13789272943539466,0.3076923076923075,-0.16979957825691283
13736,5786,2021.0,Cabral,23.0,14,A,19.0,18.0,6.0,6.0,6.464285714285714,6.464285714285714,6.982142857142857,6.541127333164537,0.07684161887882279,0.5178571428571423,-0.44101552397831956
13864,5806,2021.0,Seck,20.0,6,A,3.0,3.0,6.0,6.0,6.0,6.0,6.026315789473684,6.14202224245503,0.14202224245503015,0.02631578947368407,0.11570645298134608
14008,5836,2021.0,Ceesay,27.0,0,A,10.0,10.0,6.0,6.0,,6.660377358490566,6.470588235294118,6.424486190028501,,,-0.046102045265616454
14017,5837,2021.0,Voelkerling Persson,25.0,0,A,1.0,1.0,6.0,6.0,,6.660377358490566,5.944444444444445,6.183335473492589,,,0.23889102904814408
14062,5842,2021.0,Botheim,25.0,0,A,13.0,12.0,6.0,6.0,,6.660377358490566,6.089285714285714,6.299289788162891,,,0.2100040738771769
14071,5843,2021.0,Valencia D.,25.0,0,A,2.0,2.0,6.0,6.0,,6.660377358490566,5.791666666666667,6.171197035733503,,,0.3795303690668357
14089,5845,2021.0,Alvarez A.,25.0,0,A,14.0,13.0,6.0,6.0,,6.660377358490566,6.136363636363637,6.299289788162891,,,0.16292615179925463
14161,5854,2021.0,Tsadjout,22.0,0,A,8.0,7.0,6.0,6.0,,6.660377358490566,6.4,6.2632980146539605,,,-0.13670198534603983
14215,5864,2021.0,Buonaiuto,28.0,0,A,7.0,7.0,6.0,6.0,,6.660377358490566,6.017241379310345,6.296840225894685,,,0.27959884658433953
14314,5881,2021.0,Gytkjaer,31.0,0,A,4.0,4.0,6.0,6.0,,6.660377358490566,5.818181818181818,6.304915214672829,,,0.4867333964910108
14323,5882,2021.0,Mota,23.0,0,A,10.0,10.0,6.0,6.0,,6.660377358490566,6.637931034482759,6.381769500834707,,,-0.2561615336480516
14467,6001,2021.0,Banda,20.0,0,A,5.0,5.0,6.0,6.0,,6.660377358490566,6.152777777777778,6.095759050770688,,,-0.05701872700708943
14584,6026,2021.0,Dessers,26.0,0,A,17.0,16.0,6.0,6.0,,6.660377358490566,6.615384615384615,6.517059711493145,,,-0.09832490389146997
14674,6052,2021.0,Hojlund,18.0,0,A,8.0,7.0,6.0,6.0,,6.660377358490566,7.0,6.319826686832467,,,-0.6801733131675327
14719,6060,2021.0,Lauriente',22.0,0,A,14.0,14.0,6.0,6.0,,6.660377358490566,7.178571428571429,6.61428306039179,,,-0.5642883681796391
14764,6113,2021.0,Montevago,18.0,0,A,1.0,1.0,6.0,6.0,,6.660377358490566,5.666666666666667,6.094856544047379,,,0.4281898773807118
14791,6119,2021.0,Solbakken,25.0,0,A,10.0,10.0,6.0,6.0,,6.660377358490566,6.25,6.232799736279174,,,-0.017200263720826392
14854,6143,2021.0,Krollis,25.0,0,A,1.0,1.0,6.0,6.0,,6.660377358490566,6.0,6.183335473492589,,,0.18333547349258872
14863,6145,2021.0,Ngonge,21.0,0,A,3.0,3.0,6.0,6.0,,6.660377358490566,6.678571428571429,6.338687402489559,,,-0.33988402608186963
14908,6160,2021.0,Vivaldo,25.0,0,A,1.0,1.0,6.0,6.0,,6.660377358490566,6.0,6.183335473492589,,,0.18333547349258872
14944,6172,2021.0,Vorlicky,25.0,0,A,1.0,1.0,6.0,6.0,,6.660377358490566,6.0,6.171197035733503,,,0.17119703573350264
